[2025-01-31 14:17:31.873] [info]  DiscordSplash.signalReady
[2025-01-31 14:17:31.917] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-31 14:17:31.917] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-01-31 14:17:31.918] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-31 14:17:31.918] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-01-31 14:17:31.919] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-31 14:17:31.919] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-01-31 14:17:31.919] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-31 14:17:31.919] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-01-31 14:17:31.919] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-31 14:17:31.919] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-01-31 14:17:31.920] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-31 14:17:31.920] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-01-31 14:17:31.920] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-31 14:17:31.920] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-01-31 14:17:32.156] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-31 14:17:32.156] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-01-31 14:17:32.298] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-01-31 14:17:32.299] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
